City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Mananjary,MG,-21.22,48.33,65.39,79,98,6.4,light rain
176,Cherskiy,RU,68.75,161.3,51.6,68,78,1.16,broken clouds
177,Mar Del Plata,AR,-38.0,-57.56,50.0,81,97,6.93,overcast clouds
178,Kattivakkam,IN,13.22,80.32,77.0,94,90,6.93,light intensity drizzle
179,Kirakira,SB,-10.45,161.92,82.85,74,23,5.75,few clouds
180,Mount Gambier,AU,-37.83,140.77,44.6,100,40,6.93,scattered clouds
181,Makakilo City,US,21.35,-158.09,87.8,55,20,10.29,few clouds
182,Linxia,CN,35.6,103.21,61.39,69,55,3.67,broken clouds
183,Mahebourg,MU,-20.41,57.7,69.8,68,75,14.99,broken clouds
184,Bar Harbor,US,44.39,-68.2,75.0,88,40,14.99,scattered clouds
185,Mocuba,MZ,-16.84,36.99,62.4,97,47,3.29,scattered clouds
186,Ulaangom,MN,49.98,92.07,55.42,61,92,3.98,overcast clouds
187,Saskylakh,RU,71.92,114.08,63.88,73,65,3.49,light rain
188,Puerto Ayora,EC,-0.74,-90.35,75.2,73,75,18.34,broken clouds
189,Praia Da Vitoria,PT,38.73,-27.07,73.4,78,40,9.06,scattered clouds
190,Saucillo,MX,28.02,-105.28,90.19,23,51,6.73,broken clouds
191,Lerwick,GB,60.15,-1.15,53.6,87,69,11.41,broken clouds
192,Castro,BR,-24.79,-50.01,54.64,71,0,3.76,clear sky
193,Portland,US,45.52,-122.68,86.0,42,20,5.82,few clouds
194,Apricena,IT,41.78,15.44,78.8,54,20,2.24,few clouds
195,Nelson Bay,AU,-32.72,152.15,51.01,100,62,5.82,broken clouds
196,Torbay,CA,47.67,-52.73,63.0,82,75,11.41,broken clouds
197,Airai,TL,-8.93,125.41,52.0,92,55,2.59,broken clouds
198,Manavgat,TR,36.79,31.44,82.4,78,40,3.36,scattered clouds
199,Harper,LR,4.38,-7.72,73.42,76,94,5.95,overcast clouds
200,Imeni Poliny Osipenko,RU,52.42,136.49,54.7,85,100,10.87,overcast clouds
201,Quatre Cocos,MU,-20.21,57.76,69.8,68,75,14.99,broken clouds
202,Kutum,SD,14.2,24.67,70.56,84,58,14.67,light rain
203,Vanavara,RU,60.34,102.28,56.17,74,99,3.67,overcast clouds
204,Sulina,RO,45.16,29.65,66.13,68,0,2.06,clear sky
205,Kieta,PG,-6.22,155.63,82.11,73,84,5.41,broken clouds
206,Raffadali,IT,37.4,13.53,80.01,55,0,3.36,clear sky
207,Thinadhoo,MV,0.53,72.93,82.67,77,98,11.5,overcast clouds
208,Basti,IN,26.8,82.72,85.24,73,28,2.51,scattered clouds
209,Hailin,CN,44.58,129.42,69.21,89,100,2.53,overcast clouds
210,China,MX,25.7,-99.23,92.17,47,24,9.35,few clouds
211,Mubi,NG,10.27,13.26,70.92,91,99,2.95,light rain
212,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,74.41,78,56,11.68,broken clouds
213,Puerto Escondido,MX,15.85,-97.07,86.0,70,40,10.29,scattered clouds
214,Vila,PT,42.03,-8.16,66.99,72,100,11.41,overcast clouds
215,Fortuna,US,40.6,-124.16,72.0,77,11,7.0,few clouds
216,Cheremukhovo,RU,60.35,59.99,59.41,90,98,6.85,overcast clouds
217,Itaituba,BR,-4.28,-55.98,93.2,44,20,3.36,few clouds
218,Sanmenxia,CN,34.77,111.18,78.96,75,87,1.7,overcast clouds
219,Narsaq,GL,60.92,-46.05,51.8,81,75,5.82,broken clouds
220,Lagunas,PE,-5.23,-75.68,85.26,57,54,2.33,broken clouds
221,Longyearbyen,SJ,78.22,15.64,46.4,93,40,2.24,fog
222,Stillwater,US,36.12,-97.06,87.8,45,20,9.17,few clouds
223,Nuuk,GL,64.18,-51.72,46.4,93,100,4.7,light intensity shower rain
224,Okaihau,NZ,-35.32,173.78,60.01,3,43,7.0,scattered clouds
225,Camacupa,AO,-12.02,17.48,57.45,40,0,5.32,clear sky
226,Brae,GB,60.4,-1.35,53.6,87,70,11.41,broken clouds
227,Ondangwa,NA,-17.92,15.95,59.0,26,0,3.36,clear sky
228,Tuatapere,NZ,-46.13,167.68,47.12,81,77,3.47,broken clouds
229,Raudeberg,NO,61.99,5.14,53.6,87,100,8.05,light rain
230,Launceston,AU,-41.45,147.17,46.0,100,90,17.22,light rain
231,High Level,CA,58.52,-117.14,84.2,58,20,5.82,few clouds
232,Laksham,BD,23.25,91.14,83.01,83,84,1.83,moderate rain
233,Ahipara,NZ,-35.17,173.17,59.7,74,35,9.66,scattered clouds
234,Beringovskiy,RU,63.05,179.32,47.75,74,100,17.18,overcast clouds
235,Alofi,NU,-19.06,-169.92,78.8,69,81,9.17,broken clouds
236,Lavrentiya,RU,65.58,-171.0,47.79,68,77,9.66,broken clouds
237,Chimore,BO,-16.98,-65.13,81.12,43,0,2.93,clear sky
238,Santa Cruz,BO,-17.8,-63.17,80.6,51,20,4.7,few clouds
239,Sarankhola,BD,22.31,89.79,82.78,86,100,3.22,overcast clouds
240,Upala,CR,10.9,-85.01,86.0,74,40,11.41,scattered clouds
241,Yashkul,RU,46.17,45.34,73.89,50,98,8.66,overcast clouds
242,Vuktyl,RU,63.86,57.31,58.46,89,91,10.65,light rain
243,Glendive,US,47.11,-104.71,84.99,28,1,18.34,clear sky
244,Uruzgan,AF,32.83,66.0,61.97,27,0,3.58,clear sky
245,Aden,YE,12.78,45.04,87.94,73,0,5.75,clear sky
246,Clyde River,CA,70.47,-68.59,51.8,87,90,6.93,light rain
247,Sao Geraldo Do Araguaia,BR,-6.4,-48.55,86.68,34,57,3.42,broken clouds
248,Gilgit,PK,35.92,74.31,77.5,37,0,0.78,clear sky
249,Sitka,US,57.05,-135.33,59.0,82,90,4.7,overcast clouds
250,Lodja,CD,-3.48,23.43,76.82,54,99,0.6,overcast clouds
251,Brownsville,US,25.9,-97.5,87.01,70,1,7.49,light rain
252,Luderitz,NA,-26.65,15.16,68.0,24,0,5.82,clear sky
253,Anloga,GH,5.79,0.9,75.2,88,20,11.41,few clouds
254,Yatou,CN,37.15,122.38,75.94,94,0,8.01,clear sky
255,Guerrero Negro,MX,27.98,-114.06,84.92,47,46,17.22,scattered clouds
256,Vanimo,PG,-2.67,141.3,78.98,83,100,2.82,light rain
257,Dunedin,NZ,-45.87,170.5,53.01,80,97,1.99,overcast clouds
258,Mao,ES,39.89,4.27,77.0,73,1,12.75,clear sky
259,Umm Lajj,SA,25.02,37.27,86.79,71,2,8.88,clear sky
260,Tarazona,ES,41.9,-1.73,69.8,63,94,19.46,overcast clouds
261,Okahandja,NA,-21.98,16.92,55.4,24,0,5.82,clear sky
262,Ostrovnoy,RU,68.05,39.51,50.16,88,100,13.24,overcast clouds
263,Nikolayevsk-Na-Amure,RU,53.14,140.73,55.06,89,99,5.66,light rain
264,Aswan,EG,24.09,32.91,96.89,15,42,10.13,scattered clouds
265,Caernarfon,GB,53.14,-4.27,57.2,93,74,8.05,light rain
266,Beloha,MG,-25.17,45.05,62.04,74,0,15.66,clear sky
267,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,55.4,100,90,4.47,light intensity shower rain
268,Kodiak,US,57.79,-152.41,62.6,72,40,10.29,scattered clouds
269,Caravelas,BR,-17.71,-39.25,70.81,68,11,10.83,few clouds
270,Port Augusta,AU,-32.5,137.77,50.0,100,90,4.7,overcast clouds
271,Mpika,ZM,-11.83,31.45,53.64,65,45,8.3,scattered clouds
272,Bereznik,RU,62.86,42.71,48.52,98,91,4.16,overcast clouds
273,Kavaratti,IN,10.57,72.64,82.44,79,100,22.7,overcast clouds
274,Cambridge,CA,43.36,-80.31,73.99,94,90,9.17,overcast clouds
275,Plettenberg Bay,ZA,-34.05,23.37,64.36,41,0,2.3,clear sky
276,Kawalu,ID,-7.38,108.21,70.32,90,98,1.74,overcast clouds
277,Rocha,UY,-34.48,-54.33,62.87,89,100,5.32,overcast clouds
278,Tiksi,RU,71.69,128.87,44.91,84,100,5.3,overcast clouds
279,Omsukchan,RU,62.53,155.8,56.93,53,16,7.05,few clouds
280,Mnogovershinnyy,RU,53.94,139.92,50.49,95,95,4.61,overcast clouds
281,Bintulu,MY,3.17,113.03,77.0,88,20,6.93,few clouds
282,Imbituba,BR,-28.24,-48.67,66.2,82,62,6.93,broken clouds
283,Santa Maria,BR,-29.68,-53.81,77.0,69,30,4.7,scattered clouds
284,Cabadiangan,PH,9.75,122.47,77.59,83,64,2.89,broken clouds
285,Arua,UG,3.02,30.91,63.19,93,23,3.62,light rain
286,Baker City,US,44.77,-117.83,93.2,16,1,11.41,clear sky
287,Acapulco,MX,16.86,-99.89,87.8,70,20,10.29,few clouds
288,Tilichiki,RU,60.47,166.1,56.41,69,91,0.74,overcast clouds
289,Kaura Namoda,NG,12.59,6.58,73.78,92,63,9.57,broken clouds
290,Mayya,RU,61.73,130.28,55.4,76,33,6.71,scattered clouds
291,Upington,ZA,-28.45,21.26,55.4,26,0,9.17,clear sky
292,Lata,PT,40.16,-8.33,62.01,79,71,5.99,broken clouds
293,Ryotsu,JP,38.08,138.43,75.2,94,75,2.24,broken clouds
294,Cianjur,ID,-6.82,107.14,77.0,88,20,3.36,haze
295,Machali,CL,-34.18,-70.67,66.2,37,2,6.93,clear sky
296,Octeville,FR,49.63,-1.64,63.0,87,75,9.17,broken clouds
297,Malinovskiy,RU,61.2,62.84,63.14,87,99,11.12,overcast clouds
298,Gull Lake,CA,50.1,-108.48,78.8,29,1,14.99,clear sky
299,Cairns,AU,-16.92,145.77,66.99,88,75,10.29,broken clouds
300,San Angelo,US,31.46,-100.44,100.4,18,1,8.05,clear sky
301,Conceicao Do Araguaia,BR,-8.26,-49.26,87.8,38,0,3.36,clear sky
302,Porto De Moz,BR,-1.75,-52.24,81.12,65,50,2.66,scattered clouds
303,Hualmay,PE,-11.1,-77.61,64.08,73,18,10.2,few clouds
304,Hamilton,US,39.18,-84.53,80.01,57,40,8.05,scattered clouds
305,Mchinji,MW,-13.8,32.88,52.32,86,7,4.36,clear sky
306,Souillac,MU,-20.52,57.52,69.8,68,75,14.99,broken clouds
307,Podgorica,ME,42.44,19.26,78.8,39,0,2.24,clear sky
308,Timoteo,BR,-19.58,-42.64,66.54,63,43,0.27,scattered clouds
309,Yataity Del Norte,PY,-24.83,-56.35,71.56,55,0,5.73,clear sky
310,Mgandu,TZ,-5.95,34.13,55.49,68,31,7.65,scattered clouds
311,San Pedro,PH,14.35,121.02,79.0,94,99,1.12,overcast clouds
312,Valsamata,GR,38.17,20.6,73.4,78,0,2.24,clear sky
313,Kolaras,IN,25.23,77.6,80.4,79,84,7.96,broken clouds
314,Sao Joao Do Piaui,BR,-8.36,-42.25,78.76,47,1,6.15,clear sky
315,Bambous Virieux,MU,-20.34,57.76,69.8,68,75,14.99,broken clouds
316,Goderich,CA,43.75,-81.72,72.0,80,100,1.99,moderate rain
317,Gat,IL,31.61,34.76,79.0,61,0,1.01,clear sky
318,Iquitos,PE,-3.75,-73.25,89.6,49,32,3.36,scattered clouds
319,Half Moon Bay,US,37.46,-122.43,79.0,87,90,11.41,overcast clouds
320,Naryan-Mar,RU,67.67,53.09,54.19,92,100,4.99,overcast clouds
321,Kankaanpaa,FI,61.8,22.42,60.8,82,78,2.24,shower rain
