City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
635,Dongtai,CN,79.59,overcast clouds,32.85,120.31,Super 8 Dongtai South Hailing Road
638,Port Hawkesbury,CA,79.0,clear sky,45.62,-61.35,Hearthstone Inn Port Hawkesbury
639,Kismayo,SO,77.76,light rain,-0.36,42.55,Agan-Hotel
646,Veraval,IN,85.75,broken clouds,20.9,70.37,Lords Inn Somnath
647,Agua Dulce,MX,84.2,broken clouds,18.13,-94.13,Hotel Victoria
651,Hendek,TR,80.6,clear sky,40.8,30.75,Hendek Ogretmenevi
657,Kirakira,SB,78.67,clear sky,-10.45,161.92,SanBiz Lodge
659,Daru,PG,75.52,broken clouds,-9.08,143.21,New century hotel
660,Qingdao,CN,82.4,broken clouds,36.1,120.37,Holiday Inn Qingdao City Centre
661,Oranjestad,AW,89.6,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
662,Redlands,US,80.01,clear sky,34.06,-117.18,Dynasty Suites Redlands
663,Tukrah,LY,83.77,clear sky,32.53,20.58,استراحة لاقروتا
664,Cururupu,BR,87.46,light rain,-1.83,-44.87,Pousada Través'cia
668,Bryan,US,88.0,clear sky,30.67,-96.37,Best Western Premier Bryan College Station
670,Uthal,PK,87.42,scattered clouds,25.81,66.62,Al Madina Hotal
671,Twentynine Palms,US,89.01,clear sky,34.14,-116.05,Holiday Inn Express & Suites Twentynine Palms- Joshua Tree
672,Manicore,BR,89.6,overcast clouds,-5.81,-61.3,Pousada da wanda
673,Trincomalee,LK,82.24,overcast clouds,8.57,81.23,Welcombe Hotel
674,Coronel Bogado,PY,78.8,clear sky,-27.18,-56.3,Barboza-Centurión
675,Atasu,KZ,79.03,overcast clouds,48.68,71.64,Dostyk
676,Celestun,MX,87.37,clear sky,20.87,-90.4,Posada Lilia
684,Encheng,CN,77.07,light rain,22.18,112.3,Pinghu Hostel
685,Ondjiva,AO,82.4,clear sky,-17.07,15.73,SOS Motel
686,Kihei,US,77.0,overcast clouds,20.79,-156.47,Maui Sunset
689,Rabo De Peixe,PT,75.2,few clouds,37.8,-25.58,Quinta das Giestas
693,Braco Do Norte,BR,79.75,clear sky,-28.27,-49.17,Costa Nobre Hotel
694,Yinchuan,CN,85.32,overcast clouds,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
695,Olpe,DE,75.0,light rain,51.03,7.85,Hotel Albus
696,Santa Maria Da Vitoria,BR,86.9,clear sky,-13.39,-44.19,Pousada do Rio Corrente
